"GRID_G0","woodland","maskWdl","cropland","maskCrp","one","maskOne"
"279609",0.00630939483285942,0,0.575414640689426,1,0.317858577237523,0
"279610",0.000633687491840277,0,0.310510457912067,0,0.653518403133665,1
"279611",0.00185046920008264,0,0.6956174328043,1,0.280026721900367,0
"279612",0.00102823703085829,0,0.718717757495701,1,0.268864455036685,0
"279613",0.00599606440571053,0,0.732850987780172,1,0.238003783144003,0
"279614",0.000468031037087551,0,0.735024141669398,1,0.256843444927314,0
"279615",0.00230205921653602,0,0.742855999258025,1,0.228927219088735,0
"279616",0.00502170753352299,0,0.875695148759353,1,0.102611705194103,0
"279617",0.00605016939717069,0,0.81829233575198,1,0.158839634063691,0
"279618",0.00270472048179818,0,0.768875129917401,1,0.213552704719884,0
"279619",0.00223699024319303,0,0.741121335946563,1,0.249396135386034,0
"279620",0.0023713622655206,0,0.675180641011503,1,0.309726335627948,0
"279621",0.00292082206480042,0,0.84923203133139,1,0.139024671461272,0
